Files,Shortnames,Dates,RA,DEC,Standard,Standard_error,Gravity,Index_burgasser,Index_burgasser_err,Index_allers,Index_allers_err,Index_reid,Index_reid_err
spex_prism_2234-2309_161014.fits,J2234-2309,161014, 22:34:44.19,-23:09:11.8,L6.0:,1.2073649328668978,INT-G,L9.2,0.8263737230938648,L7.4:,1.24558315174776,L7.1:,1.6681373103662418
spex_prism_2233-1331_160806.fits,J2233-1331,160806, 22:33:44.29,-13:31:14.2,M6.0,0.797618801291534,VL-G,L4.3,0.6496834625749314,M6.2,0.40226173686054023,,
spex_prism_0443+2618_171001.fits,J0443+2618,171001, 04:43:45.00, 26:18:01.8,M1.0,0.7954369938055611,,L6.2,0.6855720410249971,,,,
spex_prism_0809-0332_170216.fits,J0809-0332,170216, 08:09:09.04,-03:32:46.3,M9.0,0.5000000109830179,FLD-G,L3.7:,1.1550372895670202,M7.2,0.3693132614501295,M8.4:,1.0488934736866542
spex_prism_0426+2512_161012.fits,J0426+2512,161012, 04:26:56.91, 25:12:56.1,L2.5,0.8662338909919449,INT-G,L3.2,0.6705749519294285,M6.4,0.3657125842779541,M8.2:,1.0419863579921775
spex_prism_0421+2720_161013.fits,J0421+2720,161013, 04:21:50.20, 27:20:22.6,L1.0,0.5061937751215868,INT-G,L1.1,0.5895673123964122,M8.0,0.3801687683070589,M8.9,0.7971067802590291
spex_prism_0422+2347_161013.fits,J0422+2347,161013, 04:22:27.52, 26:47:25.4,L1.0:,1.2203281714813907,,L2.6,0.7189386233219732,M4.7,0.8393938096501188,,
spex_prism_1829-0156_170903.fits,J1829-0156,170903, 18:29:53.02,-01:56:32.6,L7.0,0.6167578102616678,VL-G,T1.2,0.9166149511132562,L2.8,0.9975530906825674,L4.7:,2.076416690908489
spex_prism_0443+2944_161012.fits,J0443+2944,161012, 04:43:06.92, 29:44:28.1,L7.0,0.6236040840401657,VL-G,L7.1,0.6748729757488305,M7.1,0.4262800310915398,,
spex_prism_1623-2517_170210.fits,J1623-2517,170210, 16:23:11.07,-25:17:33.7,L0.0:,1.1049317025903471,,L2.2,0.6475528288994616,M5.6,0.30972515284851443,,
spex_prism_0445+3141_161012.fits,J0445+3141,161012, 04:45:15.18, 31:41:28.7,M6.0,0.500502420491581,,L4.1:,1.128364976511333,M5.8,0.339859367501395,,
spex_prism_0544+0639_160921.fits,J0544+0639,160921, 05:44:55.80, 06:39:35.9,M9.0,0.518429768901623,INT-G,L1.6,0.7517650313764067,M8.5,0.3051463437296458,M9.2:,1.021927347259777
spex_prism_0219+0326.160908.fits,J0219+0326,160908, 02:19:54.14, 03:26:33.9,M4.0,0.5,,L2.6,0.6479390964597276,,,,
spex_prism_1820+2021_161024.fits,J1820+2021,161024, 18:20:09.87, 20:21:37.7,M3.0:,1.1257835984677356,VL-G,T1.2,1.5735960454537397,M8.6,1.0115520371493225,L0.7:,1.445472933745681
spex_prism_1829-0204_170831.fits,J1829-0204,170831, 18:29:55.47,-02:04:14.9,L7.0,0.5790288266638394,INT-G,L9.6:,1.1080810214500765,L0.2,0.47653904100544586,L4.5:,1.1946367050529518
spex_prism_0420+2326_161013.fits,J0420+2326,161013, 04:20:51.70, 23:26:44.2,L0.0,0.7129972216848192,VL-G,L1.0,0.5845595385396187,M8.2,0.38388383649908747,L0.1,0.7882518872948779
spex_prism_0025-0334_160911.fits,J0025-0334,160911, 00:25:58.11,-03:34:05.6,M4.5,0.8648700296457583,,L5.9:,1.1105005799306915,M4.6,0.520373921910338,,
spex_prism_0048-0224_160911.fits,J0048-0224,160911, 00:48:16.39,-02:24:46.9,M4.0,0.5383671806600426,,L2.8,0.6496795182722299,,,,
spex_prism_0431+1544_161013.fits,J0431+1544,161013, 04:31:06.17, 15:44:28.9,M8.0,0.5,VL-G,L4.4:,1.1650563423819942,M6.2,0.37819597250069953,,
spex_prism_0028+0358.160908.fits,J0028+0358,160908, 00:28:59.35, 03:58:26.5,M4.0,0.8025770550063105,,L2.7,0.6479291783555325,M4.3,0.45805145024471483,,
spex_prism_0158+0227.160908.fits,J0158+0227,160908, 01:58:37.90, 02:27:19.1,M4.0,0.5,,L2.5,0.6484934122592251,,,,
spex_prism_1431-0313_170216.fits,J1431-0313,170216, 14:31:34.81,-03:13:07.2,L3.0:,1.029313760772474,INT-G,L7.4,0.6311099902598271,L4.6,0.7130388966631344,L5.5,0.8164210086403821
spex_prism_0042+0021.160908.fits,J0042+0021,160908, 00:28:59.35, 03:58:26.5,M4.0,0.7824780075128018,,L2.6,0.647894224774633,M4.2,0.4588886712479993,,
spex_prism_0344+0136_160921.fits,J0344+0136,160921, 03:44:09.98, 01:36:37.4,L8.0:,1.2499223871205674,INT-G,L8.6,0.8326568201179713,L3.9,1.0488254031872217,L2.2:,1.4342252074068227
spex_prism_0341+3157_161031.fits,J0341+3157,161031, 03:41:33.33, 31:57:47.3,M5.0,0.6037310396683294,,L6.2:,1.1510014602108383,M4.5,0.49589477363821927,,
spex_prism_2344+0100.160908.fits,J2344+0100,160908, 23:44:25.21, 01:00:07.9,M3.0,0.5,,L3.5,0.6682472627401628,,,,
spex_prism_0901+3818_170216.fits,J0901+3818,170216, 09:01:53.60, 38:18:45.1,M9.0,0.5248938762879519,FLD-G,L2.2:,1.2245023184065273,M8.1,0.41742762878503753,M9.1,0.8023627904417788
spex_prism_1830-0209_170903.fits,J1830-0209,170903, 18:30:37.20,-02:09:39.7,L7.0,0.5989754024420643,INT-G,L2.9::,3.3182582354000174,L1.3,0.7373641755971693,L1.6::,2.1927603045888473
spex_prism_0207-0812_160911.fits,J0207-0812,160911, 02:07:32.36,-08:12:32.0,M4.0,0.5004027227207309,,L2.5,0.6492567283348352,M5.5,0.40056411007039666,,
spex_prism_1830-0153_170731.fits,J1830-0153,170731, 18:30:29.85,-01:53:55.6,L7.0,0.7784741675659513,VL-G,T2.1:,1.1763253526673934,L1.0,0.42611720672438097,,
spex_prism_1619-2410_170210.fits,J1619-2410,170210, 16:19:16.38,-24:10:28.0,M9.0,0.5034302424114875,VL-G,L1.4,0.653910440241481,M6.4,0.32120360103026735,,
spex_prism_0158-1817_160911.fits,J0158-1817,160911, 01:58:54.77,-18:18:00.2,M4.0,0.5000001256242108,,T1.1,0.2897818597700659,M5.0,0.4048078781051348,,
spex_prism_0411+2832_161012.fits,J0411+2832,161012, 04:11:17.10, 28:32:01.3,L7.0,0.5444540409959469,VL-G,L5.5,0.6739146328202904,M6.6,0.33915957355349136,M8.9:,1.0282455176521008
spex_prism_1457+4724_170428.fits,J1457+4724,170428, 14:57:34.29, 47:24:27.7,T7.0,0.5002985195848744,FLD-G,T6.2,0.2686128138470563,M6.1:,1.9266246615665432,,
spex_prism_0420+2326_161012.fits,J0420+2326,161012, 04:20:51.57, 23:26:36.7,L0.0,0.7629045025585297,VL-G,L0.9,0.744002910502165,M9.2,0.6103925292434504,L0.7:,1.172279150182504
spex_prism_1615-2110_170210.fits,J1615-2110,170210, 16:15:45.64,-21:10:32.2,M6.0,0.5000000080465519,,L5.5:,1.1015225592063695,M5.1,0.3095863260851559,,
spex_prism_0430+2530_170105.fits,J0430+2530,170105, 04:30:48.95, 25:30:34.2,M4.0,0.7139021677012313,,L8.5:,1.0647398373077381,,,,
spex_prism_2323+0514_160929.fits,J2323+0514,160929, 23:23:06.72, 05:41:09.4,M7.5,0.8592180160524869,,L6.7,0.6206574451846225,L7.8,0.8691526005444963,L5.8:,1.0873676890206783
spex_prism_0421+2703_170105.fits,J0421+2703,170105, 04:21:04.54, 27:03:13.4,L7.0,0.7929958748975211,INT-G,T1.5:,1.0676969839018482,L3.6,0.5538375194092946,,
spex_prism_1620-2312_170210.fits,J1620-2312,170210, 16:20:48.55,-23:12:52.5,M9.0,0.6826247647053113,VL-G,L1.4,0.6510667039302107,M6.4,0.30636173879446904,M8.7:,1.0229255021192791
spex_prism_1629-2543_170210.fits,J1629-2543,170210, 16:29:32.31,-25:43:28.3,M9.5,0.9469784052279342,,L2.8,0.6473662149601449,M5.9,0.3917156812419453,,
spex_prism_0422+0810_160929.fits,J0422+0810,160929, 04:22:31.20, 08:10:11.2,L0.5,0.8809310540539977,FLD-G,L3.6,0.7984484271969919,L1.6,0.7975042138932011,L2.4,0.9275097832285797
spex_prism_0421+2720_161012.fits,J0421+2720,161012, 04:21:50.82, 27:20:20.7,T0.0:,1.1365362673698731,INT-G,L1.2,0.762202269178707,M8.3,0.5233480857594649,M8.7,0.8653408840264744
spex_prism_1628-2450_170213.fits,J1628-2450,170213, 16:24:40.56,-24:48:35.2,L6.0,0.6216435142317718,VL-G,L2.7,0.5757822891607556,M6.8,0.36604466056240315,M9.2:,1.03481360261516
spex_prism_0427+2305_161012.fits,J0427+2305,161012, 04:27:30.11, 23:05:56.5,M9.5,0.8983990702323515,,L2.7,0.6706871380573527,M5.9,0.38052427110991033,,
spex_prism_0415+2910_170216.fits,J0415+2910,170216, 04:15:41.78, 29:10:04.9,L0.0,0.7887613660545792,VL-G,L1.4,0.5490791680661358,M7.2,0.30626663025311407,M9.8:,1.0229114101664123
spex_prism_0406+3139_161012.fits,J0406+3139,161012, 04:06:47.28, 31:39:21.3,M7.0,0.5126694211546049,VL-G,L3.5:,1.2219226906279888,M6.3,0.3973037768890385,,
spex_prism_2358+0421.160908.fits,J2358+0421,160908, 23:58:18.33, 04:21:00.1,M4.0,0.5,,L2.8,0.6481645899462934,,,,
spex_prism_0004-2604_160803.fits,J0004-2604,160803, 00:04:30.92,-26:04:10.0,T3.0,0.5000911502078115,INT-G,T2.5,0.27152375806551077,L0.2,0.7548744887172654,,
spex_prism_2354-0811_160926.fits,J2354-0811,160926, 23:54:21.89,-08:11:31.0,L7.0,0.5000000042921705,VL-G,L8.7,0.713094910608938,L3.0,0.4885501171912189,L3.8,0.8196750142369272
spex_prism_0407+2306_161013.fits,J0407+2306,161013, 04:07:29.40, 23:06:34.5,T0.0,0.5000044772607828,VL-G,L2.2,0.6992052349591931,L0.3,0.45664905257324306,L1.3,0.8293940728816752
spex_prism_0431+2706_170929.fits,J0431+2706,170929, 04:31:49.14, 27:06:15.4,L7.0:,1.1579822034439333,VL-G,L6.4:,1.1449534037755913,M7.1::,2.403727477555196,,
spex_prism_0412+1044_160930.fits,J0412+1044,160930, 04:12:32.60, 10:44:05.7,L7.0,0.5000000024145234,FLD-G,L6.6,0.736793873232374,L4.2,0.7124829559157224,L5.3,0.8670657024750841
spex_prism_1430-2718_170618.fits,J1430-2718,170618, 14:30:50.71,-27:18:02.5,M8.0,0.5,VL-G,L1.6:,1.056269685887883,M9.2,0.3557565688492015,M9.7:,1.0417935174868267
spex_prism_0044+0228_160929.fits,J0044+0228,160929, 00:44:02.76, 02:28:13.5,L7.0,0.500000003479079,VL-G,T1.2,0.7206805926994194,L2.7,0.5151619694300138,L4.2,0.8162351726972005
spex_prism_0204-1350_160911.fits,J0204-1350,160911, 02:04:40.47,-13:50:36.3,M4.0,0.5002189935272592,,L2.7,0.6492784521000275,M5.3,0.4011105213995188,,
spex_prism_1630-2153_170618.fits,J1630-2153,170618, 16:30:33.47,-21:53:34.5,M0.0,0.7609391576560832,,L5.0,0.7174401385201338,,,,
spex_prism_2359+0319.160908.fits,J2359+0319,160908, 23:59:34.30, 03:19:53.2,M3.5,0.8648195924787724,,L2.7,0.6480802700707649,,,,
spex_prism_2157+2659_170710.fits,J2157+2659,170710, 21:57:51.79, 26:59:33.9,T7.0,0.500001139568902,INT-G,T7.4,0.2572931015483178,L4.2:,1.0991763821732206,,
spex_prism_0316+2650_160806.fits,J0316+2650,160806, 03:16:27.60, 26:50:27.3,T3.0,0.500000000003443,VL-G,T2.5,0.25460620792661326,M9.2,0.8573304261363576,,
spex_prism_0022-0200_160911.fits,J0022-0200,160911, 00:22:15.31,-02:00:32.0,M4.0,0.5006344380147656,,L2.9,0.6512447663552265,M4.1,0.4723184713713067,,
spex_prism_0443+2617_171002.fits,J0443+2617,171002, 04:43:43.89, 26:17:46.8,L6.0:,1.083337087376674,VL-G,L3.6,0.625688674722791,L0.2,0.39068108546845715,L0.8,0.8064452167546012
spex_prism_1627-2451_170210.fits,J1627-2451,170210, 16:27:49.99,-24:51:12.2,L3.0:,1.192794632906345,VL-G,L2.0,0.5525625050813591,M6.8,0.31237259592585187,M9.7:,1.0256262505512574
spex_prism_2344-2500_160922.fits,J2344-2500,160922, 23:44:04.77,-25:00:44.7,M7.0,0.5,FLD-G,L2.3:,1.1458185707268735,M8.1,0.34594701840264686,L0.6,0.7843231076264748
spex_prism_0704-0906_170216.fits,J0704-0906,170216, 06:43:36.96,-02:23:10.9,L6.0:,1.4103368435793902,INT-G,L7.4,0.5969224723874067,L0.9,0.5297662722579473,L5.3,0.8045891266503352
spex_prism_1623-2351_170210.fits,J1623-2351,170210, 16:24:51.60,-22:53:49.4,M8.0,0.5000000007252655,VL-G,L1.0,0.6491732776576006,M6.6,0.30186802426427356,M8.4:,1.021762634915008
spex_prism_1622-2502_170210.fits,J1622-2502,170210, 16:22:10.21,-25:02:16.3,M9.5,0.8779335822140591,,L2.0,0.6573998806464139,M6.0,0.3334936190438536,,
spex_prism_0004-1336_160922.fits,J0004-1336,160922, 00:04:58.63,-13:36:52.8,T2.0:,1.1065172468894644,FLD-G,T1.0,0.2783143950784467,L1.1,0.9269482775886769,L7.4:,1.287700784678231
spex_prism_0435+1449_161013.fits,J0435+1449,161013, 04:35:43.24, 14:49:10.5,M5.0:,1.06958937301711,,L8.5:,1.1250950763819503,,,,
spex_prism_0428+2546_171002.fits,J0428+2546,171002, 04:28:01.47, 25:46:06.9,L0.0:,1.0149063557772713,FLD-G,L3.4,0.5840928668534284,L1.7,0.3494374466499472,L2.2,0.7943437741316268
spex_prism_0202-1328_160911.fits,J0202-1328,160911, 02:02:58.81,-13:28:10.6,M4.0,0.5000000000000032,,L2.8,0.6486286183016295,M5.9,0.3998472448240848,,
spex_prism_0008-2813_160921.fits,J0008-2813,160921, 00:08:56.50,-28:13:24.6,L8.0,0.5594561292439046,FLD-G,L7.5,0.643875719508102,L0.8,0.6791149372829017,L4.5,0.8354362998819284
spex_prism_0414+2807_170102.fits,J0414+2807,170102, 04:14:30.92, 28:07:10.2,L7.0,0.7379353330298608,VL-G,T1.9,0.2794592826880587,L1.2,0.293254616795328,L5.3:,1.0230301844004506
spex_prism_0301-2319_160803.fits,J0301-2319,160803, 03:01:20.09,-23:19:23.5,T1.0,0.5537415044034639,INT-G,T0.2,0.5902234648256863,M8.9,0.9592692080981172,,
spex_prism_0534-0702_161031.fits,J0534-0702,161031, 05:34:53.28,-07:02:35.5,L7.5,0.9559095047289583,VL-G,L5.8,0.9715513758170807,L3.4:,1.390531635796623,,
spex_prism_0226-1610_160929.fits,J0226-1610,160929, 02:26:08.91,-16:10:03.2,L7.0,0.5000074169087048,VL-G,L7.3,0.6224873433667981,L1.5,0.3973999675665921,L4.3,0.8273908675614899
spex_prism_0409+2000_161012.fits,J0409+2000,161012, 04:09:51.13, 20:00:45.8,M8.0,0.5021285311148498,VL-G,L1.0,0.6655730632248895,M8.5,0.4428277555085494,M10.0,0.7973535943734231
spex_prism_0046+0222_160911.fits,J0046+0222,160911, 00:46:06.66, 02:22:08.7,M4.0,0.501661323586974,,L3.3,0.6526768678249525,,,,
spex_prism_1624-2444_170213.fits,J1624-2444,170213, 16:24:46.83,-24:44:21.1,L6.5,0.8620190992806397,VL-G,L3.0,0.6830507512425267,M6.9,0.36183603624092564,M9.2:,1.0485710186037536
spex_prism_0421+2706_170929.fits,J0421+2706,170929, 04:21:07.04, 27:06:48.8,L3.0:,1.1757373115048135,VL-G,L3.0,0.9172338634798025,L1.0,0.6122864734525475,L1.8,0.9524468473637184
spex_prism_0344+3218_170219.fits,J0344+3218,170219, 03:44:18.62, 32:18:18.4,M7.0,0.5932137317417236,,L4.1:,1.2738823727396982,M5.1,0.6005929386120222,,
spex_prism_0353+3137_161013.fits,J0353+3137,161013, 03:53:24.81, 31:37:14.8,M8.0,0.5840923556811338,VL-G,L4.2:,1.1403070221683083,M6.3,0.3697241495137284,,
spex_prism_0435+2307_171002.fits,J0435+2307,171002, 04:35:08.04, 23:07:52.2,L2.0,0.7406213317523729,VL-G,L3.5,0.7172046809485869,L0.1,0.42256734389538403,L1.5,0.8101186382542086
spex_prism_0434+2708_171002.fits,J0434+2708,171002, 04:34:05.63, 27:08:29.3,L0.5,0.923805816899752,INT-G,L1.7,0.7312527924017617,M6.2,0.5664323238596638,,
spex_prism_0420+2804_170929.fits,J0420+2804,170929, 04:20:25.90, 28:04:53.8,M6.0,0.7964896210909895,,L5.3:,1.5807271324877754,,,,
spex_prism_0429+2430_170105.fits,J0429+2430,170105, 04:29:04.49, 24:30:07.5,L7.0,0.6475810703918096,VL-G,L7.0,0.6551809444218372,M6.9,0.4044688642601309,,
spex_prism_0440+2732_170216.fits,J0440+2732,170216, 04:40:47.65, 27:32:27.9,M7.0,0.5,VL-G,L2.1:,1.124374248625664,M6.9,0.3066135149846767,M8.9,0.7746612420952977
spex_prism_1643-2359_170710.fits,J1643-2359,170710, 16:43:46.08,-23:59:07.1,L0.5,0.9222038982232494,,L2.0,0.694906825814078,M5.9,0.42140338916080317,,
spex_prism_0428+2556_171002.fits,J0428+2556,171002, 04:28:10.51, 25:56:45.4,L6.5,0.8329708401232753,INT-G,L4.2,0.5819452822519969,L3.2,0.3867099506594532,L3.0:,1.0579343758762738
spex_prism_2348+0114_160908.fits,J2348+0114,160908, 23:48:30.89, 01:14:04.6,M4.0,0.5,,L2.7,0.6479644807800822,,,,
spex_prism_1623-2303_170210.fits,J1623-2303,170210, 16:23:13.91,-23:03:51.3,M9.0,0.7772668109267726,VL-G,L1.5,0.6586520609687904,M6.8,0.33913846863937647,M8.2:,1.0319569956234216
spex_prism_0333+3851_160921.fits,J0333+3851,160921, 03:33:47.50, 38:51:54.0,M8.0,0.5085836228866354,FLD-G,L1.5,0.5849634897064103,M9.3,0.3670792898158362,L0.9,0.7930971221354041
spex_prism_0433+2613_171001.fits,J0433+2613,171001, 04:33:09.17, 26:13:05.6,M8.0,0.5,FLD-G,L0.8,0.591094888542726,L0.0,0.3654168786324548,L0.5,0.7920870560564718
spex_prism_0110+1920_161024.fits,J0110+1920,161024, 01:10:49.18, 19:20:17.4,M8.0,0.5470270720624371,INT-G,L0.4,0.6802454696596192,M7.9,0.39265118348088934,M10.0:,1.0692768564895083
spex_prism_0441+2130_160928.fits,J0441+2130,160928, 04:41:05.01, 21:30:05.4,L7.0,0.5000000000431845,INT-G,L6.8,0.6039350310155276,L3.6,0.6739857656692636,L4.6,0.8069371185355789
spex_prism_0355+2101_161013.fits,J0355+2101,161013, 03:55:29.27, 21:01:13.3,L1.0,0.501322889670591,INT-G,L1.8,0.8655660711884926,M8.9,0.4175950679049994,M9.5,0.7901824184356707
spex_prism_2012+1246_160922.fits,J2012+1246,160922, 20:12:52.63, 12:46:37.8,M8.0,0.5000000000058773,FLD-G,L4.2:,1.1011127738910886,M6.6,0.2970044516707634,,
